"","Store","Address","City","State","Zip","Type","cluster"
"68","S0068","1011 N San Fernando Blvd","Burbank","CA",91504,"Existing",3
"69","S0069","1440 W 25th St","San Pedro","CA",90732,"Existing",3
"70","S0070","4550 Atlantic Ave","Long Beach","CA",90807,"Existing",1
"71","S0071","1270 E Main St","Barstow","CA",92311,"Existing",2
"72","S0072","729 N H St","Lompoc","CA",93436,"Existing",2
"73","S0073","175 N Fairview Ave","Goleta","CA",93117,"Existing",3
"74","S0074","777 S Glendora Ave","West Covina","CA",91790,"Existing",2
"75","S0075","870 3rd Ave","Chula Vista","CA",91911,"Existing",2
"76","S0076","7311 N Figueroa St","Los Angeles","CA",90041,"Existing",3
"77","S0077","163 S Turnpike Rd","Goleta","CA",93111,"Existing",3
"78","S0078","3855 State St","Santa Barabra","CA",93105,"Existing",3
"79","S0079","3027 Rancho Vista Blvd","Palmdale","CA",93551,"Existing",2
"80","S0080","29530 Rancho California Rd","Temecula","CA",92591,"Existing",1
"81","S0081","24325 Crenshaw Blvd","Torrance","CA",90503,"Existing",3
"82","S0082","42170 Big Bear Blvd","Big Bear Lake","CA",92315,"Existing",2
"83","S0083","130 W Foothill Blvd","Monrovia","CA",91016,"Existing",3
"84","S0084","5500 Woodruff Ave","Lakewood","CA",90713,"Existing",1
"85","S0085","561 N Glendale Ave","Glendale","CA",91206,"Existing",3
"86","S0086","6825 Camino Arroyo","Gilroy","CA",95020,"New",2
"87","S0087","5353 Almaden Expy","San Jose","CA",95118,"New",2
"88","S0088","2200 Eastridge Loop","San Jose","CA",95122,"New",2
"89","S0089","3600 Stevens Creek Blvd","San Jose","CA",95117,"New",3
"90","S0090","11 W Hillsdale Blvd","San Mateo","CA",94403,"New",3
"91","S0091","3150 Naglee Rd","Tracy","CA",95304,"New",2
"92","S0092","6699 Fairmount Ave","El Cerrito","CA",94530,"New",3
"93","S0093","5709 Lone Tree Way","Antioch","CA",94531,"New",2
"94","S0094","1149 S Main St","Walnut Creek","CA",94596,"New",3
"95","S0095","552 Contra Costa Blvd","Pleasant Hill","CA",94523,"New",2
